Time(Sec),Speed(Kmph),Accel(m/s^2)
0,0,0
16,0,0
22,14,2.33
26,22,2
30,13,-2.25
32,13,0
37,23,2
42,31,1.6
45,25,-2
49,25,0
51,21,-2
59,34,1.63
66,42,1.14
69,37,-1.67
76,37,0
78,34,-1.5
85,42,1.14
94,27,-1.67
101,14,-1.86
108,0,-2
124,0,0
130,14,2.33
134,22,2
138,13,-2.25
140,13,0
145,23,2
150,31,1.6
153,25,-2
157,25,0
159,21,-2
167,34,1.63
174,42,1.14
177,37,-1.67
184,37,0
186,34,-1.5
193,42,1.14
202,27,-1.67
209,14,-1.86
216,0,-2
232,0,0
238,14,2.33
242,22,2
246,13,-2.25
248,13,0
253,23,2
258,31,1.6
261,25,-2
265,25,0
267,21,-2
275,34,1.63
282,42,1.14
285,37,-1.67
292,37,0
294,34,-1.5
301,42,1.14
310,27,-1.67
317,14,-1.86
324,0,-2
340,0,0
346,14,2.33
350,22,2
354,13,-2.25
356,13,0
361,23,2
366,31,1.6
369,25,-2
373,25,0
375,21,-2
383,34,1.63
390,42,1.14
393,37,-1.67
400,37,0
402,34,-1.5
409,42,1.14
418,27,-1.67
425,14,-1.86
432,0,-2
448,0,0
454,14,2.33
458,22,2
462,13,-2.25
464,13,0
469,23,2
474,31,1.6
477,25,-2
481,25,0
483,21,-2
491,34,1.63
498,42,1.14
501,37,-1.67
508,37,0
510,34,-1.5
517,42,1.14
526,27,-1.67
533,14,-1.86
540,0,-2
556,0,0
562,14,2.33
566,22,2
570,13,-2.25
572,13,0
577,23,2
582,31,1.6
585,25,-2
589,25,0
591,21,-2
599,34,1.63
606,42,1.14
609,37,-1.67
616,37,0
618,34,-1.5
625,42,1.14
634,27,-1.67
641,14,-1.86
648,0,-2
